0,1,2
0.0,-1.0,3.720075976020836e-44
0.0,-0.98,1.951452380295421e-42
0.0,-0.96,9.449754976491218e-41
0.0,-0.94,4.224152406206323e-39
0.0,-0.92,1.7430708966453162e-37
0.0,-0.9,6.639677199580735e-36
0.0,-0.88,2.334722783487306e-34
0.0,-0.86,7.57844526761843e-33
0.0,-0.84,2.270812922026456e-31
0.0,-0.82,6.2811481476060214e-30
0.0,-0.8,1.603810890548638e-28
0.0,-0.78,3.7802778447760985e-27
0.0,-0.76,8.225280651606685e-26
0.0,-0.74,1.6520917823142836e-24
0.0,-0.72,3.0631908645774736e-23
0.0,-0.7,5.242885663363538e-22
0.0,-0.6799999999999999,8.283677007682978e-21
0.0,-0.6599999999999999,1.2081820198999966e-19
0.0,-0.6399999999999999,1.6266646214532776e-18
0.0,-0.62,2.021715848695361e-17
0.0,-0.6,2.319522830243602e-16
0.0,-0.58,2.456595368792178e-15
0.0,-0.56,2.4017347816209437e-14
0.0,-0.54,2.167568882618954e-13
0.0,-0.52,1.8058314375132107e-12
0.0,-0.5,1.3887943864964021e-11
0.0,-0.48,9.859505575991516e-11
0.0,-0.45999999999999996,6.461431773106131e-10
0.0,-0.43999999999999995,3.908938434264878e-09
0.0,-0.41999999999999993,2.1829577951254933e-08
0.0,-0.4,1.1253517471925912e-07
0.0,-0.38,5.355347802793109e-07
0.0,-0.36,2.3525752000097794e-06
0.0,-0.33999999999999997,9.540162873079265e-06
0.0,-0.31999999999999995,3.57128496416354e-05
0.0,-0.29999999999999993,0.0001234098040866802
0.0,-0.2799999999999999,0.00039366904065508073
0.0,-0.26,0.0011592291739045903
0.0,-0.24,0.0031511115984444414
0.0,-0.21999999999999997,0.007907054051593448
0.0,-0.19999999999999996,0.018315638888734213
0.0,-0.17999999999999994,0.03916389509898717
0.0,-0.15999999999999992,0.07730474044329995
0.0,-0.14,0.14085842092104495
0.0,-0.12,0.23692775868212176
0.0,-0.09999999999999998,0.3678794411714425
0.0,-0.07999999999999996,0.5272924240430489
0.0,-0.05999999999999994,0.6976763260710316
0.0,-0.039999999999999925,0.8521437889662119
0.0,-0.019999999999999907,0.9607894391523236
0.0,0.0,1.0
0.0,0.020000000000000018,0.9607894391523232
0.0,0.040000000000000036,0.8521437889662111
0.0,0.06000000000000005,0.6976763260710306
0.0,0.08000000000000007,0.527292424043048
0.0,0.10000000000000009,0.36787944117144167
0.0,0.1200000000000001,0.23692775868212113
0.0,0.14000000000000012,0.1408584209210445
0.0,0.16000000000000014,0.0773047404432994
0.0,0.18000000000000016,0.03916389509898686
0.0,0.19999999999999996,0.018315638888734213
0.0,0.21999999999999997,0.007907054051593448
0.0,0.24,0.0031511115984444414
0.0,0.26,0.0011592291739045903
0.0,0.28,0.0003936690406550776
0.0,0.30000000000000004,0.00012340980408667932
0.0,0.32000000000000006,3.571284964163508e-05
0.0,0.3400000000000001,9.54016287307918e-06
0.0,0.3600000000000001,2.352575200009758e-06
0.0,0.3800000000000001,5.355347802793061e-07
0.0,0.40000000000000013,1.1253517471925831e-07
0.0,0.42000000000000015,2.1829577951254626e-08
0.0,0.44000000000000017,3.908938434264823e-09
0.0,0.45999999999999996,6.461431773106131e-10
0.0,0.48,9.859505575991516e-11
0.0,0.5,1.3887943864964021e-11
0.0,0.52,1.8058314375132107e-12
0.0,0.54,2.167568882618954e-13
0.0,0.56,2.4017347816209437e-14
0.0,0.5800000000000001,2.4565953687921255e-15
0.0,0.6000000000000001,2.319522830243553e-16
0.0,0.6200000000000001,2.0217158486953177e-17
0.0,0.6400000000000001,1.6266646214532198e-18
0.0,0.6600000000000001,1.2081820198999538e-19
0.0,0.6800000000000002,8.283677007682683e-21
0.0,0.7000000000000002,5.242885663363352e-22
0.0,0.72,3.0631908645774736e-23
0.0,0.74,1.6520917823142836e-24
0.0,0.76,8.225280651606685e-26
0.0,0.78,3.7802778447760985e-27
0.0,0.8,1.603810890548638e-28
0.0,0.8200000000000001,6.2811481476060214e-30
0.0,0.8400000000000001,2.270812922026391e-31
0.0,0.8600000000000001,7.57844526761843e-33
0.0,0.8800000000000001,2.3347227834872395e-34
0.0,0.9000000000000001,6.639677199580735e-36
0.0,0.9200000000000002,1.7430708966452667e-37
0.0,0.9400000000000002,4.224152406206143e-39
0.0,0.9600000000000002,9.44975497649095e-41
0.0,0.9800000000000002,1.9514523802953378e-42
0.01,-1.0,1.7180215056956297e-31
0.01,-0.98,1.4474050438306185e-30
0.01,-0.96,2.2897565981438611e-29
0.01,-0.94,3.4349081220970524e-28
0.01,-0.92,4.869724519075803e-27
0.01,-0.9,6.524230348695092e-26
0.01,-0.88,8.25977516878001e-25
0.01,-0.86,9.881003288503281e-24
0.01,-0.84,1.1168861403223664e-22
0.01,-0.82,1.192818141153564e-21
0.01,-0.8,1.2035958962226936e-20
0.01,-0.78,1.1473954003112468e-19
0.01,-0.76,1.0333736317547116e-18
0.01,-0.74,8.792259266865767e-18
0.01,-0.72,7.066923850162333e-17
0.01,-0.7,5.365819718972928e-16
0.01,-0.6799999999999999,3.848640160463332e-15
0.01,-0.6599999999999999,2.607562805661068e-14
0.01,-0.6399999999999999,1.6688218064925843e-13
0.01,-0.62,1.0088465366938823e-12
